,Timestamp,PSM_xyz,PSM_roll_pitchGripper_angle_radians,Puzzle_position_xyz,Gripper_angle_radians,PSM_roll_pitch,Input_L
16,1652781651.3349853,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca20d98cc0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '84.71414947509766', 'y': '68.214599609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
17,1652781651.3543308,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2f40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '84.35893249511719', 'y': '67.5037841796875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
18,1652781651.376495,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f9e2b40>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '84.35893249511719', 'y': '67.14834594726562', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
19,1652781651.3972757,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e240>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '84.00370025634766', 'y': '66.79296875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
20,1652781651.418036,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e4c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '83.29325103759766', 'y': '65.72674560546875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
21,1652781651.4606822,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e5c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '83.29325103759766', 'y': '65.37130737304688', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
22,1652781651.4867465,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e140>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '82.93802642822266', 'y': '64.30511474609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
23,1652781651.6299627,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e0c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '82.58280181884766', 'y': '64.30511474609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
24,1652781651.6507747,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e8c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '81.87235260009766', 'y': '63.94970703125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
25,1652781651.6706154,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e7c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '80.09620666503906', 'y': '62.172698974609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
26,1652781651.6908882,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e1c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '78.32007598876953', 'y': '59.329376220703125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
27,1652781651.7106764,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e940>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '76.899169921875', 'y': '56.841552734375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
28,1652781651.73095,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e540>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '75.123046875', 'y': '51.51043701171875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
29,1652781651.752121,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e3c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '71.21554565429688', 'y': '39.426605224609375', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
30,1652781651.7734084,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e2c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '69.79463958740234', 'y': '35.517120361328125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
31,1652781651.7935555,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e840>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '69.79463958740234', 'y': '34.45086669921875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
32,1652781651.8158343,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e440>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '69.79463958740234', 'y': '33.3846435546875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
33,1652781651.837398,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e740>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '70.14986419677734', 'y': '33.3846435546875', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
34,1652781651.8591447,"[-3.1407747001462494, 0.0835585132023993, 1.4069223133855504]",,<coroutine object RemoteAPIClient.call at 0x7fca1f98e9c0>,"(0.0, 0.0)","(-0.13910330832004547, 0.10553038120269775)","{'action': 'joystick1', 'x': '71.21554565429688', 'y': '34.095489501953125', 'z': '100', 'o': 0, 'c': 0, 's': 0, 'sensitivity': '3'}"
